Judul;Penerbit;Link;Tanggal Published;;
Trump tidak menutup kemungkinan perundingan dengan Iran;Antara News;https://www.antaranews.com/berita/5466367/trump-tidak-menutup-kemungkinan-perundingan-dengan-iran;52 menit lalu;;
"Iran tolak gencatan senjata hingga ""agresor"" diberi pelajaran";Antara News;https://www.antaranews.com/berita/5466135/iran-tolak-gencatan-senjata-hingga-agresor-diberi-pelajaran;2 jam lalu;;
"Iran tolak gencatan senjata sampai agresor dapat ""pelajaran""";Antara News;https://www.antaranews.com/berita/5466127/iran-tolak-gencatan-senjata-sampai-agresor-dapat-pelajaran;2 jam lalu;;
Qatar bantah putus komunikasi dengan Iran;Antara News;https://www.antaranews.com/berita/5466075/qatar-bantah-putus-komunikasi-dengan-iran;2 jam lalu;;
Warga Iran nyatakan sumpah setia kepada Mojtaba Khamenei;Antara News;https://www.antaranews.com/berita/5465811/warga-iran-nyatakan-sumpah-setia-kepada-mojtaba-khamenei;4 jam lalu;;
Saudi sampaikan duka atas kematian tentara Kuwait dan UEA;Antara News;https://www.antaranews.com/berita/5465659/saudi-sampaikan-duka-atas-kematian-tentara-kuwait-dan-uea;5 jam lalu;;
Erdogan: Pelanggaran terhadap wilayah udara Turki tak bisa ditoleransi;Antara News;https://www.antaranews.com/berita/5465303/erdogan-pelanggaran-terhadap-wilayah-udara-turki-tak-bisa-ditoleransi;7 jam lalu;;
Belanda kerahkan kapal perang ke Mediterania atas permintaan Prancis;Antara News;https://www.antaranews.com/berita/5465207/belanda-kerahkan-kapal-perang-ke-mediterania-atas-permintaan-prancis;7 jam lalu;;
Trump akan longgarkan sanksi minyak untuk manipulasi harga;Antara News;https://www.antaranews.com/berita/5464915/trump-akan-longgarkan-sanksi-minyak-untuk-manipulasi-harga;9 jam lalu;;
Ketua DPR RI sampaikan duka cita atas gugurnya Ali Khamenei;Antara News;https://www.antaranews.com/berita/5464495/ketua-dpr-ri-sampaikan-duka-cita-atas-gugurnya-ali-khamenei;12 jam lalu;;
Senator kubu Demokrat AS minta selidiki serangan ke sekolah Iran;Antara News;https://www.antaranews.com/berita/5464047/senator-kubu-demokrat-as-minta-selidiki-serangan-ke-sekolah-iran;22 jam lalu;;
Warga gembira sambut Mojtaba terpilih jadi Pemimpin Tertinggi Iran;Antara News;https://www.antaranews.com/video/5463895/warga-gembira-sambut-mojtaba-terpilih-jadi-pemimpin-tertinggi-iran;23 jam lalu;;
Negara-negara Asia siapkan langkah darurat imbas konflik Timur Tengah;Antara News;https://www.antaranews.com/berita/5463623/negara-negara-asia-siapkan-langkah-darurat-imbas-konflik-timur-tengah;Kemarin 22:03;;
