Judul,Penerbit,Link,Tanggal Published
"Puan Berduka Ali Khamenei Gugur Diserang AS-Israel, Desak PBB Bertindak",Detik,https://news.detik.com/berita/d-8392835/puan-berduka-ali-khamenei-gugur-diserang-as-israel-desak-pbb-bertindak,10 Maret 2026
Trump Beri Sinyal Perang Lawan Iran Akan Selesai,Detik,https://news.detik.com/internasional/d-8392814/trump-beri-sinyal-perang-lawan-iran-akan-selesai,10 Maret 2026
Peringatan Keras Iran ke Kapal Tanker yang Nekat Lewati Selat Hormuz,Detik,https://www.detik.com/bali/berita/d-8392847/peringatan-keras-iran-ke-kapal-tanker-yang-nekat-lewati-selat-hormuz,10 Maret 2026
Iran Beri Peringatan Keras Kapal Tanker yang Mau Lewat Selat Hormuz,Detik,https://finance.detik.com/energi/d-8392622/iran-beri-peringatan-keras-kapal-tanker-yang-mau-lewat-selat-hormuz,10 Maret 2026
Iran Beri Peringatan Keras Kapal Tanker yang Mau Lewat Selat Hormuz,Detik,https://finance.detik.com/energi/d-8392622/iran-beri-peringatan-keras-kapal-tanker-yang-mau-lewat-selat-hormuz,10 Maret 2026
Respons Trump Usai Australia Tampung 5 Pemain Timnas Putri Iran,Detik,https://www.detik.com/bali/sepakbola/d-8392724/respons-trump-usai-australia-tampung-5-pemain-timnas-putri-iran,10 Maret 2026
"Australia Tampung 5 Pemain Iran yang Kabur, Trump: Good Job!",Detik,https://sport.detik.com/sepakbola/bola-dunia/d-8392543/australia-tampung-5-pemain-iran-yang-kabur-trump-good-job,10 Maret 2026
Kata Trump Harga Minyak Naik karena Perang Cuma Urusan Kecil,Detik,https://news.detik.com/internasional/d-8392494/kata-trump-harga-minyak-naik-karena-perang-cuma-urusan-kecil,10 Maret 2026
"Trump Soroti Nasib Timnas Putri Iran, Desak Australia Beri Suaka!",Detik,https://sport.detik.com/sepakbola/bola-dunia/d-8392473/trump-soroti-nasib-timnas-putri-iran-desak-australia-beri-suaka,10 Maret 2026
Anak Kedua Mendiang Ali Khamenei Jadi Pemimpin Tertinggi Iran,Detik,https://www.detik.com/jabar/berita/d-8390727/anak-kedua-mendiang-ali-khamenei-jadi-pemimpin-tertinggi-iran,09 Maret 2026
Mojtaba Anak Ali Khamenei Resmi Jadi Pemimpin Tertinggi Baru Iran,Detik,https://www.detik.com/jateng/berita/d-8390868/mojtaba-anak-ali-khamenei-resmi-jadi-pemimpin-tertinggi-baru-iran,09 Maret 2026
Anak Kedua Ayatollah Ali Khamenei Terpilih jadi Pemimpin Tertinggi Iran,Detik,https://www.detik.com/sumut/berita/d-8390705/anak-kedua-ayatollah-ali-khamenei-terpilih-jadi-pemimpin-tertinggi-iran,09 Maret 2026
Trump Sebut Perang Lawan Iran Hampir Tuntas: Lebih Cepat dari Jadwal,Detik,https://www.detik.com/kalimantan/berita/d-8392937/trump-sebut-perang-lawan-iran-hampir-tuntas-lebih-cepat-dari-jadwal,09 Maret 2026
"Ditanya soal Perang Lawan Iran, Trump: Saya Pikir Sudah Sangat Tuntas",Detik,https://www.detik.com/jogja/berita/d-8392933/ditanya-soal-perang-lawan-iran-trump-saya-pikir-sudah-sangat-tuntas,09 Maret 2026
"Dipimpin Mojtaba, Iran Langsung Luncurkan Rudal ke Israel",Detik,https://www.detik.com/jogja/berita/d-8390876/dipimpin-mojtaba-iran-langsung-luncurkan-rudal-ke-israel,09 Maret 2026
Garda Revolusi Iran Nyatakan Kesetiaan ke Ayatollah Mojtaba Khamenei,Detik,https://news.detik.com/internasional/d-8390735/garda-revolusi-iran-nyatakan-kesetiaan-ke-ayatollah-mojtaba-khamenei,09 Maret 2026
Iran Tembakkan Rudal Pertama ke Israel Usai Mojtaba Terpilih Jadi Pemimpin,Detik,https://news.detik.com/internasional/d-8390806/iran-tembakkan-rudal-pertama-ke-israel-usai-mojtaba-terpilih-jadi-pemimpin,09 Maret 2026
"Siapa Mojtaba Khamenei, Pemimpin Tertinggi Iran yang Baru?",Detik,https://news.detik.com/bbc-world/d-8391142/siapa-mojtaba-khamenei-pemimpin-tertinggi-iran-yang-baru,09 Maret 2026
Ayatollah Mojtaba Khemenei Jadi Pemimpin Tertinggi Iran,Detik,https://www.detik.com/sumbagsel/berita/d-8390988/ayatollah-mojtaba-khemenei-jadi-pemimpin-tertinggi-iran,09 Maret 2026
Houthi Sambut Mojtaba Khamenei Pemimpin Baru Iran: Pukulan Telak bagi Musuh,Detik,https://news.detik.com/internasional/d-8390753/houthi-sambut-mojtaba-khamenei-pemimpin-baru-iran-pukulan-telak-bagi-musuh,09 Maret 2026
Tembakan Rudal Pertama Iran ke Israel Usai Mojtaba Khamenei Jadi Pemimpin Baru,Detik,https://www.detik.com/bali/berita/d-8390830/tembakan-rudal-pertama-iran-ke-israel-usai-mojtaba-khamenei-jadi-pemimpin-baru,09 Maret 2026
