Judul,Penerbit,Kategori,Link,Tanggal Published
Setelah Ali Khamenei Pergi,Kompas,Global,https://www.kompas.com/global/read/2026/03/02/065000070/setelah-ali-khamenei-pergi,2 Maret 2026
"Profil Mojtaba Khamenei, Pemimpin Tertinggi Iran Pengganti Ayatollah Ali Khamenei",Kompas,Cahaya,https://cahaya.kompas.com/aktual/26C14141821890/profil-mojtaba-khamenei-pemimpin-tertinggi-iran-pengganti-ayatollah-ali-khamenei,14 Maret 2026
"Megawati, Ali Khamenei, dan Keadilan Dunia",Kompas,News,https://nasional.kompas.com/read/2026/03/09/04000071/megawati-ali-khamenei-dan-keadilan-dunia,9 Maret 2026
[HOAKS] Foto Gibran Pernah Mengunjungi Ali Khamenei,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/12/192000582/-hoaks-foto-gibran-pernah-mengunjungi-ali-khamenei,12 Maret 2026
[HOAKS] Foto Jenazah Ali Khamenei di Reruntuhan,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/02/170700882/-hoaks-foto-jenazah-ali-khamenei-di-reruntuhan,2 Maret 2026
"Kini ""Roh Ali Khamenei"" Menghantui Jantung ""Trumponomics""",Kompas,Global,https://www.kompas.com/global/read/2026/03/22/062624570/kini-roh-ali-khamenei-menghantui-jantung-trumponomics,22 Maret 2026
"Rekam Jejak Mojtaba Khamenei, Putra Ali Khamenei yang Kini Jadi Pemimpin Tertinggi Iran",Kompas,Tren,https://www.kompas.com/tren/read/2026/03/09/081500865/rekam-jejak-mojtaba-khamenei-putra-ali-khamenei-yang-kini-jadi-pemimpin,9 Maret 2026
Siapa Mojtaba Khamenei? Putra Ali Khamenei yang Kini Pimpin Iran di Tengah Kontroversi,Kompas,Tren,https://www.kompas.com/tren/read/2026/03/09/160000665/siapa-mojtaba-khamenei-putra-ali-khamenei-yang-kini-pimpin-iran-di-tengah,9 Maret 2026
Prabowo Kirim Surat Belasungkawa Wafatnya Ayatollah Ali Khamenei,Kompas,News,https://nasional.kompas.com/read/2026/03/04/21414991/prabowo-kirim-surat-belasungkawa-wafatnya-ayatollah-ali-khamenei,4 Maret 2026
Ali Khamenei: Iran Tak Akan Bernegosiasi dengan Amerika,Kompas,Global,https://www.kompas.com/global/read/2025/02/07/193700170/ali-khamenei--iran-tak-akan-bernegosiasi-dengan-amerika,7 Februari 2025
[KLARIFIKASI] Tidak Benar Ayatollah Ali Khamenei Masih Hidup,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/05/190800882/-klarifikasi-tidak-benar-ayatollah-ali-khamenei-masih-hidup-,5 Maret 2026
Ayatollah Ali Khamenei: Suu Kyi Wanita yang Kejam,Kompas,News,https://internasional.kompas.com/read/2017/09/13/14294041/ayatollah-ali-khamenei-suu-kyi-wanita-yang-kejam,13 September 2017
Mojtaba Khamenei Bersumpah Akan Balas Kematian Ali Larijani,Kompas,Global,https://internasional.kompas.com/read/2026/03/19/060000370/mojtaba-khamenei-bersumpah-akan-balas-kematian-ali-larijani,19 Maret 2026
"5 Kandidat Teratas Pengganti Ali Khamenei, Siapa Saja?",Kompas,Global,https://internasional.kompas.com/read/2026/03/02/074910470/5-kandidat-teratas-pengganti-ali-khamenei-siapa-saja,2 Maret 2026
Ayatollah Ali Khamenei: Trump Ungkap Wajah Asli Amerika,Kompas,News,https://internasional.kompas.com/read/xml/2017/02/07/17592591/ayatollah.ali.khamenei.trump.ungkap.wajah.asli.amerika,7 Februari 2017
Cerita Warga Kampar Riau Berikan Nama Bayinya Ali Khamenei,Kompas,Regional,https://regional.kompas.com/read/2026/04/08/150131278/cerita-warga-kampar-riau-berikan-nama-bayinya-ali-khamenei,8 April 2026
[HOAKS] Foto Evakuasi Jasad Ali Khamenei Saat Tertimpa Reruntuhan,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/03/02/211100782/hoaks-foto-evakuasi-jasad-ali-khamenei-saat-tertimpa-reruntuhan,2 Maret 2026
